site	id	x	y	dbh	height	species	crown_area
1	1	0.869	5.269	281	17.155	Pinus_sylvestris	8.687012
1	2	5.397	17.467	503	17.303	Pinus_sylvestris	24.536951
1	3	4.731	8.783	153	14.44	Pinus_sylvestris	0.801185
1	4	5.833	10.33	186	15.416	Pinus_sylvestris	6.090272
1	5	7.308	9.066	250	17.864	Pinus_sylvestris	4.6929335
1	6	11.768	15.171	119	8.285	Picea_abies	2.386878
1	7	11.288	13.059	602	15.098	Pinus_sylvestris	46.1365025
1	8	8.8	5.6	211	20.063	Pinus_sylvestris	3.8375245
1	9	3.553	0.281	348	17.459	Pinus_sylvestris	22.020629
1	10	11.758	-0.006	416	19.669	Pinus_sylvestris	23.0991535
1	11	19.933	0.664	208	10.102	Betula_pubescens	13.976977
1	12	16.911	4.203	158	10.371	Betula_pubescens	11.9343385
1	13	26.151	9.712	217	15.613	Pinus_sylvestris	2.8800375
1	14	25.286	10.466	292	17.128	Pinus_sylvestris	6.2374425
1	15	24.23	11.791	106	8.722	Pinus_sylvestris	0.5870265
1	16	23.272	15.687	205	18.653	Pinus_sylvestris	3.0886725
1	17	23.05	17.015	312	18.737	Pinus_sylvestris	6.307194
1	18	24.299	16.143	245	15.44	Pinus_sylvestris	2.9515075
1	19	26.048	16.841	342	17.933	Pinus_sylvestris	8.7446475
1	20	25.94	16.125	133	11.954	Pinus_sylvestris	1.510186
1	21	26.359	20.592	133	10.675	Betula_pubescens	3.1042255
1	22	30.404	20.062	223	16.911	Pinus_sylvestris	2.9203595
1	23	32.43	27.191	294	16.932	Pinus_sylvestris	12.964797
1	24	28.479	28.333	108	7.477	Betula_pubescens	4.0178535
1	25	22.916	31.27	206	10.607	Betula_pubescens	14.969605
1	26	10.668	29.592	184	10.668	Betula_pubescens	12.9323365
1	27	8.334	28.071	121	9.471	Picea_abies	3.22357
1	28	7.027	27.539	333	18.988	Pinus_sylvestris	9.387629
1	29	4.722	27.743	156	13.132	Betula_pubescens	3.3950555
1	30	6.055	28.356	155	15.206	Pinus_sylvestris	1.23048
1	31	4.886	30.023	211	12.676	Picea_abies	10.4505465
1	32	3.531	31.166	225	15.397	Picea_abies	4.846936
1	33	5.752	24.669	226	15.716	Pinus_sylvestris	10.285963
2	1	0.606	4.455	212	10.935	Betula_pubescens	14.7057325
2	3	4.526	0.094	335	14.653	Pinus_sylvestris	31.188933
2	4	23.192	3.735	151	11.734	Betula_pubescens	6.746261
2	5	23.261	4.006	124	10.322	Betula_pubescens	4.9424605
2	6	32.875	0.801	289	16.912	Pinus_sylvestris	12.3303125
2	7	33.255	8.506	346	18.549	Pinus_sylvestris	20.3969465
2	8	32.742	11.075	272	16.569	Pinus_sylvestris	6.0137835
2	9	27.776	11.051	228	18.051	Pinus_sylvestris	4.7213605
2	10	31.739	17.459	261	17.928	Pinus_sylvestris	5.7892575
2	11	25.186	14.93	109	5.414	Betula_pubescens	4.955501
2	12	24.531	16.485	125	7.318	Betula_pubescens	4.3333815
2	13	19.701	11.277	593	19.413	Pinus_sylvestris	33.390168
2	14	18.801	19.835	226	16.27	Pinus_sylvestris	4.726174
2	15	18.01	23.979	116	5.465	Betula_pubescens	2.315779
2	16	17.839	24.219	166	11.191	Pinus_sylvestris	5.9935155
2	17	15.122	19.177	225	11.654	Pinus_sylvestris	12.641552
2	18	14.415	19.687	246	19.964	Pinus_sylvestris	5.6913945
2	19	15.192	26.496	330	18.227	Pinus_sylvestris	15.3146385
2	20	11.546	26.66	337	18.594	Pinus_sylvestris	9.227375
2	21	7.882	30.49	394	17.962	Pinus_sylvestris	20.584538
2	23	18.718	32.114	204	13.476	Pinus_sylvestris	5.3409135
2	24	31.551	24.615	204	13.732	Pinus_sylvestris	2.9478085
2	25	28.786	30.841	301	17.214	Pinus_sylvestris	13.483078
2	26	10.536	8.021	275	15.788	Pinus_sylvestris	7.1570365
2	27	8.149	9.825	111	9.83	Betula_pubescens	3.3706615
2	28	8.454	14.351	141	8.344	Betula_pubescens	6.8351315
2	29	7.987	14.474	121	5.418	Betula_pubescens	4.875845
2	30	8.707	14.835	117	9.073	Betula_pubescens	3.422461
2	31	4.243	21.455	223	10.725	Pinus_sylvestris	9.95018
2	32	1.535	22.518	170	12.349	Pinus_sylvestris	3.101803
2	33	-1.114	18.632	232	13.026	Pinus_sylvestris	7.0995225
2	34	0.216	16.572	111	8.885	Pinus_sylvestris	1.587581
2	35	3.246	22.985	119	3	Betula_pubescens	1.7641205
3	1	0.382	-0.1	324	11.393	Pinus_sylvestris	13.2387255
3	2	0.478	3.374	152	7.608	Betula_pubescens	4.149589
3	3	9.657	9.78	111	6.411	Betula_pubescens	5.4484175
3	4	6.475	14.786	227	9.935	Pinus_sylvestris	6.8354875
3	5	-3.476	12.5	277	8.769	Pinus_sylvestris	12.2824545
3	6	9.863	16.168	185	11.181	Pinus_sylvestris	3.298414
3	7	7.77	22.558	304	15.391	Pinus_sylvestris	8.7029
3	8	0.641	19.724	367	16.879	Pinus_sylvestris	31.3553285
3	9	5.703	17.478	110	2.722	Betula_pubescens	2.0300445
3	10	4.323	23.587	122	6.113	Betula_pubescens	6.7637345
3	11	4.133	29.653	209	12.604	Pinus_sylvestris	9.199461
3	12	5.255	30.3	164	11.759	Pinus_sylvestris	5.684497
3	13	9.45	30.784	111	9.864	Pinus_sylvestris	2.465611
3	14	21.512	30.392	180	10.457	Pinus_sylvestris	5.3366335
3	15	21.162	30.727	159	8.115	Betula_pubescens	9.2492935
3	16	26.133	28.539	173	10.644	Pinus_sylvestris	2.491634
3	17	27.718	30.058	135	8.277	Pinus_sylvestris	2.2088705
3	18	28.021	29.692	201	11.293	Pinus_sylvestris	12.3908905
3	19	31.1	28.864	134	8.692	Betula_pubescens	3.552171
3	20	31.417	30.162	151	7.859	Pinus_sylvestris	4.415131
3	21	27.262	22.332	142	9.814	Pinus_sylvestris	2.4312135
3	22	29.744	21.649	154	10.727	Pinus_sylvestris	3.3484975
3	23	22.044	25.372	133	5.366	Betula_pubescens	4.215195
3	24	25.854	21.693	111	8.756	Pinus_sylvestris	3.4245175
3	25	23.997	19.759	113	8.695	Pinus_sylvestris	2.4958545
3	26	26.13	16.285	354	17.079	Pinus_sylvestris	25.9657765
3	27	26.105	12.539	311	12.808	Pinus_sylvestris	18.9515935
3	28	20.551	13.505	211	12.327	Pinus_sylvestris	10.3118015
3	29	24.591	7.199	140	9.949	Pinus_sylvestris	4.654262
3	30	28.936	4.09	348	17.2	Pinus_sylvestris	28.4133935
3	31	22.181	5.322	139	8.163	Pinus_sylvestris	2.5305715
4	1	-0.2	11.828	200	9.556	Betula_pubescens	11.7650625
4	2	5.309	17.854	213	14.292	Betula_pubescens	9.019092
4	3	5.828	18.261	216	10.741	Betula_pubescens	17.7406115
4	4	6.322	17.802	243	12.023	Betula_pubescens	22.081043
4	5	7.594	14.349	150	7.776	Picea_abies	6.6853665
4	6	13.049	17.763	362	18.411	Picea_abies	6.583113
4	7	8.7	17.857	313	18.557	Picea_abies	7.4644425
4	8	11.121	9.269	351	20.223	Picea_abies	7.4027035
4	9	12.281	7.8	354	18.553	Picea_abies	7.036678
4	10	20.149	3.092	350	17.742	Picea_abies	5.883022
4	11	19.424	18.93	328	18.255	Picea_abies	5.519085
4	12	22.051	19.611	390	23.103	Picea_abies	8.841693
4	13	25.846	20.659	369	17.963	Picea_abies	9.522641
4	14	26.531	22.71	224	14.737	Picea_abies	6.3582785
4	15	24.116	11.275	336	16.615	Picea_abies	5.2578605
4	16	32.008	20.726	294	13.865	Betula_pubescens	22.7122465
4	17	32.366	20.138	215	7.931	Betula_pubescens	27.8493885
4	18	31.772	5.157	272	14.432	Picea_abies	7.0670295
4	19	1.708	-1.81	311	14.048	Betula_pubescens	25.096391
5	1	0.638	17.033	428	17.962	Picea_abies	13.7864895
5	2	2.024	13.308	305	14.136	Picea_abies	3.9562185
5	3	4.437	8.314	310	17.826	Picea_abies	17.30874
5	4	4.635	3.039	207	10.68	Picea_abies	10.173455
5	5	4.84	1.308	192	12.264	Betula_pubescens	10.036001
5	6	5.648	8.637	114	8.112	Picea_abies	5.1986825
5	7	21.316	2.176	444	22.876	Picea_abies	13.233023
5	8	20.661	6.445	307	19.948	Picea_abies	4.4532695
5	9	17.492	6.916	317	17.416	Picea_abies	5.2130455
5	10	14.744	5.605	372	17.088	Picea_abies	11.66254
5	11	14.018	1.43	160	10.174	Betula_pubescens	8.4639625
5	12	12.248	14.494	290	16.554	Betula_pubescens	17.320895
5	13	12.396	15.457	119	6.699	Betula_pubescens	4.9443215
5	14	12.698	15.434	220	14.698	Betula_pubescens	12.7405695
5	15	10.641	16.767	123	8.814	Picea_abies	4.0723035
5	16	4.993	19.122	441	19.146	Picea_abies	10.15716
5	17	17.395	20.073	245	14.354	Betula_pubescens	26.350632
5	18	17.744	20.483	226	13.81	Betula_pubescens	17.994226
5	19	22.888	16.333	415	22.593	Picea_abies	25.8527255
5	20	28.169	3.441	135	8.211	Picea_abies	5.482191
5	21	22.031	19.495	195	14.497	Betula_pubescens	11.7068705
5	22	27.441	6.652	425	21.584	Picea_abies	8.6573315
5	23	29.311	6.065	285	24.395	Picea_abies	7.634708
5	24	29.338	15.626	210	16.862	Picea_abies	4.452568
5	25	30.066	18.752	421	20.356	Picea_abies	17.6927785
5	26	32.186	25.221	337	20.489	Picea_abies	14.5561265
5	27	24.115	31.457	203	10.968	Betula_pubescens	13.295854
5	28	19.205	29.115	221	12.907	Picea_abies	12.005941
5	29	12.199	31.722	316	17.141	Picea_abies	28.8361355
5	30	13.573	31.4	245	15.049	Betula_pubescens	11.152856
5	31	-0.093	26.92	250	13.27	Betula_pubescens	10.9694105
5	32	1.112	30.726	335	15.688	Picea_abies	10.092647
6	1	0.261	11.155	197	13.127	Betula_pubescens	18.987708
6	2	1.427	12.471	104	9.046	Betula_pubescens	3.255234
6	3	2.332	14.759	145	10.706	Betula_pubescens	4.393155
6	4	3.999	13.975	152	10.318	Picea_abies	4.6517015
6	5	5.814	15.369	344	19.816	Pinus_sylvestris	18.277302
6	6	7.382	15.99	244	14.9	Picea_abies	6.6878385
6	7	3.416	4.356	152	4.909	Betula_pubescens	1.6381685
6	8	6.001	6.319	169	13.561	Picea_abies	5.0815105
6	9	9.194	5.537	185	14.524	Picea_abies	5.293344
6	10	5.807	2.999	152	13.391	Picea_abies	4.860862
6	11	3.82	-0.066	102	7.279	Betula_pubescens	3.88436
6	12	11.075	-1.685	165	10.64	Betula_pubescens	9.226714
6	13	10.925	6.917	140	8.475	Betula_pubescens	8.109183
6	14	13.306	12.476	206	13.877	Pinus_sylvestris	5.5134745
6	15	15.205	10.882	413	18.435	Pinus_sylvestris	28.182922
6	16	15.618	8.45	138	9.412	Picea_abies	4.054175
6	17	18.133	5.563	240	16.696	Pinus_sylvestris	5.8893555
6	18	18.894	4.609	209	14.25	Pinus_sylvestris	4.3328275
6	19	18.429	9.607	189	14.25	Picea_abies	5.172351
6	20	21.137	3.48	151	11.89	Picea_abies	4.9520245
6	21	28.596	1.999	169	15.303	Picea_abies	3.662396
6	22	27.984	8.741	237	18.518	Pinus_sylvestris	6.7781075
6	23	27.737	13.73	387	22.102	Pinus_sylvestris	16.4074165
6	24	28.903	10.007	155	10.898	Pinus_sylvestris	0.6170275
6	25	32.73	8.975	365	20.953	Pinus_sylvestris	32.493588
6	26	29.709	11.831	125	10.768	Pinus_sylvestris	1.099917
6	27	29.972	14.432	168	18.043	Pinus_sylvestris	2.2321085
6	28	20.457	12.227	316	18.652	Pinus_sylvestris	11.482472
6	29	31.332	17.669	201	16.955	Pinus_sylvestris	3.709694
6	30	30.501	19.802	190	16.085	Pinus_sylvestris	4.401105
6	31	26.619	20.583	240	15.885	Picea_abies	9.5343415
6	32	23.102	15.203	138	12.703	Picea_abies	9.31304
6	33	22.028	14.954	280	20.511	Pinus_sylvestris	11.3924975
6	34	21.699	14.94	175	13.559	Picea_abies	10.8026155
6	35	19.978	18.038	133	10.159	Picea_abies	4.102798
6	36	19.908	24.751	112	7.014	Picea_abies	4.3360395
6	37	14.83	29.875	188	12.271	Betula_pubescens	15.063098
6	38	10.115	31.109	166	10.274	Betula_pubescens	10.7436665
6	39	7.968	23.466	445	20.216	Pinus_sylvestris	29.9312215
6	40	6.161	24.389	275	20.922	Pinus_sylvestris	8.5084995
6	41	6.792	21.08	110	2.035	Betula_pubescens	5.286442
6	42	14.135	22.052	203	11.47	Betula_pubescens	10.2908955
6	43	16.544	18.531	198	15.778	Picea_abies	4.8819825
6	44	3.078	23.087	160	13.035	Picea_abies	2.853604
6	45	-0.658	18.343	173	12.371	Picea_abies	5.7876455
6	46	-0.825	22.394	146	11.309	Betula_pubescens	5.181414
7	1	-0.544	12.211	127	15.863	Pinus_sylvestris	2.0504235
7	2	-0.912	22.699	254	16.638	Pinus_sylvestris	8.7147205
7	3	0.154	31.561	263	15.838	Pinus_sylvestris	9.887175
7	4	6.198	25.935	230	16.175	Pinus_sylvestris	4.998381
7	5	1.717	14.929	415	19.482	Pinus_sylvestris	17.359087
7	6	3.417	10.649	187	15.978	Pinus_sylvestris	2.9517305
7	7	3.75	6.206	202	17.058	Pinus_sylvestris	4.6602735
7	8	6.277	8.669	206	16.111	Pinus_sylvestris	4.3030145
7	9	9.775	9.751	153	12.516	Pinus_sylvestris	2.081882
7	10	13.458	10.609	513	17.734	Pinus_sylvestris	18.49477
7	11	10.389	3.14	366	18.244	Pinus_sylvestris	14.2170455
7	12	13.261	-0.139	363	20.317	Pinus_sylvestris	25.2515445
7	13	21.949	0.764	142	9.636	Betula_pubescens	6.52048
7	14	29.479	-0.763	405	16.918	Pinus_sylvestris	12.3506195
7	15	25.433	4.006	193	16.787	Pinus_sylvestris	4.217446
7	16	24.225	4.535	203	16.203	Pinus_sylvestris	3.4421005
7	17	23.338	9.181	195	9.988	Pinus_sylvestris	5.578199
7	18	24.698	9.991	455	16.808	Pinus_sylvestris	16.7125965
7	19	18.651	13.071	210	17.468	Pinus_sylvestris	5.182505
7	20	19.829	14.615	222	17.401	Pinus_sylvestris	3.24847
7	21	15.386	20.452	104	9.851	Pinus_sylvestris	1.133318
7	22	14.269	21.219	223	14.999	Pinus_sylvestris	4.1149485
7	23	13.085	23.429	277	19.41	Pinus_sylvestris	10.5583535
7	24	11.699	17.086	177	16.346	Pinus_sylvestris	2.5687515
7	25	10.444	17.753	182	14.119	Pinus_sylvestris	3.342056
7	26	9.891	19.016	155	10.864	Pinus_sylvestris	4.425976
7	27	8.121	17.182	306	17.828	Pinus_sylvestris	8.31718
7	28	8.974	24.314	148	12.937	Pinus_sylvestris	2.2814585
7	29	9.362	25.739	141	13.909	Pinus_sylvestris	2.12265
7	30	9.836	28.626	256	17.847	Pinus_sylvestris	9.2317835
7	31	9.932	30.63	135	14.751	Pinus_sylvestris	1.8925985
7	32	16.029	31.743	232	18.055	Pinus_sylvestris	5.8827745
7	33	20.569	25.775	324	16.463	Pinus_sylvestris	16.726727
7	34	17.644	17.036	243	18.954	Pinus_sylvestris	5.141938
7	35	23.127	16.717	228	16.528	Pinus_sylvestris	4.8762635
7	36	27.571	13.936	117	13.8	Pinus_sylvestris	1.420772
7	37	31.177	12.652	125	14.25	Pinus_sylvestris	2.169027
7	38	29.77	14.402	314	21.776	Pinus_sylvestris	9.2096075
7	39	28.225	17.467	129	14.443	Pinus_sylvestris	1.0223415
7	40	32.437	15.726	130	11.014	Pinus_sylvestris	1.438601
7	41	32.249	16.888	235	18.134	Pinus_sylvestris	3.356054
7	42	31.276	18.05	143	12.507	Pinus_sylvestris	1.1428645
7	43	28.509	21.197	205	18.538	Pinus_sylvestris	2.335875
7	44	28.215	22.528	190	15.364	Pinus_sylvestris	2.967761
8	1	5.855	7.938	368	15.003	Pinus_sylvestris	15.903508
8	2	7.927	14.242	378	19.015	Pinus_sylvestris	17.8451125
8	3	5.673	14.22	259	16.895	Pinus_sylvestris	7.413471
8	4	5.622	18.331	248	16.004	Pinus_sylvestris	8.93505
8	5	6.379	19.668	253	21.018	Pinus_sylvestris	4.4921115
8	6	10.23	27.058	295	16.995	Pinus_sylvestris	8.1540975
8	7	12.203	30.37	280	18.244	Pinus_sylvestris	8.3880955
8	8	9.677	31.673	136	15.688	Pinus_sylvestris	1.7983175
8	9	8.006	31.547	274	17.744	Pinus_sylvestris	9.5838865
8	10	6.822	32.943	243	14.019	Pinus_sylvestris	6.487921
8	11	-1.005	16.726	352	15.129	Pinus_sylvestris	10.175997
8	12	-1.593	3.761	329	17.301	Pinus_sylvestris	19.0338995
8	13	5.616	2.403	177	14.105	Pinus_sylvestris	2.9370185
8	14	16.535	-2.433	406	19.88	Pinus_sylvestris	17.8045045
8	15	12.997	4.203	339	17.362	Pinus_sylvestris	14.49204
8	16	16.202	8.731	329	19.199	Pinus_sylvestris	13.0722785
8	17	20.276	4.625	314	14.201	Pinus_sylvestris	25.870052
8	18	25.794	-0.923	241	15.315	Pinus_sylvestris	9.001846
8	19	21.401	15.475	340	14.553	Pinus_sylvestris	20.4946875
8	20	30.754	22.915	285	19.341	Pinus_sylvestris	7.231368
8	21	28.943	25.054	161	15.083	Pinus_sylvestris	1.5922025
8	22	29.333	31.71	433	21.67	Pinus_sylvestris	17.62063
8	23	20.781	25.498	528	18.555	Pinus_sylvestris	36.809262
8	24	13.404	22.602	376	21.006	Pinus_sylvestris	14.4411245
9	1	-1.357	2.722	293	16.988	Pinus_sylvestris	21.005292
9	2	-0.116	4.52	276	17.465	Pinus_sylvestris	11.899093
9	3	0.257	12.176	263	16.95	Pinus_sylvestris	10.196046
9	4	-1.055	15.525	265	19.043	Pinus_sylvestris	10.031164
9	5	2.41	18.559	325	16.21	Pinus_sylvestris	16.078342
9	6	1.405	26.083	382	17.418	Pinus_sylvestris	21.745729
9	7	5.308	27.476	255	15.106	Pinus_sylvestris	10.634332
9	8	6.071	25.098	187	14.487	Pinus_sylvestris	5.2992505
9	9	9.966	18.85	266	21.647	Pinus_sylvestris	9.802748
9	10	11.201	23.259	278	16.756	Pinus_sylvestris	8.1646595
9	11	18.294	25.05	435	23.156	Pinus_sylvestris	14.3200025
9	12	24.145	30.337	231	16.799	Pinus_sylvestris	7.0492715
